name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
Akyumak,433,Valid,"Iron, IVA",50000,Fell,01/01/1981 12:00:00 AM,39.91667,42.81667,"(39.91667, 42.81667)"
Aomori,2313,Valid,L6,320,Fell,01/01/1984 12:00:00 AM,40.81056,140.78556,"(40.81056, 140.78556)"
Bawku,4976,Valid,LL5,1557,Fell,01/01/1989 12:00:00 AM,11.08333,-0.18333,"(11.08333, -0.18333)"
Binningup,5051,Valid,H5,488.1,Fell,01/01/1984 12:00:00 AM,-33.15639,115.67639,"(-33.15639, 115.67639)"
Burnwell,5175,Valid,H4-an,1504,Fell,01/01/1990 12:00:00 AM,37.62194,-82.23722,"(37.62194, -82.23722)"
Ceniceros,5306,Valid,L3.7,1025,Fell,01/01/1988 12:00:00 AM,26.46667,-105.23333,"(26.46667, -105.23333)"
Chela,5338,Valid,H4,2936,Fell,01/01/1988 12:00:00 AM,-3.66667,32.5,"(-3.66667, 32.5)"
Chiang Khan,5345,Valid,H6,367,Fell,01/01/1981 12:00:00 AM,17.9,101.63333,"(17.9, 101.63333)"
Chisenga,5355,Valid,"Iron, IIIAB",3920,Fell,01/01/1988 12:00:00 AM,-10.05944,33.395,"(-10.05944, 33.395)"
Claxton,5374,Valid,L6,1455,Fell,01/01/1984 12:00:00 AM,32.1025,-81.87278,"(32.1025, -81.87278)"
Dahmani,5504,Valid,LL6,18000,Fell,01/01/1981 12:00:00 AM,35.61667,8.83333,"(35.61667, 8.83333)"
El Idrissia,7807,Valid,L6,10000,Fell,01/01/1989 12:00:00 AM,34.41667,3.25,"(34.41667, 3.25)"
Gashua,44882,Valid,L6,4162,Fell,01/01/1984 12:00:00 AM,12.85,11.03333,"(12.85, 11.03333)"
Glanerbrug,10923,Valid,L/LL5,670,Fell,01/01/1990 12:00:00 AM,52.2,6.86667,"(52.2, 6.86667)"
Guangnan,11436,Valid,L6,,Fell,01/01/1983 12:00:00 AM,24.1,105,"(24.1, 105.0)"
Guangrao,11437,Valid,L6,1900,Fell,01/01/1980 12:00:00 AM,37.1,118.4,"(37.1, 118.4)"
Gujargaon,11448,Valid,H5,2449,Fell,01/01/1982 12:00:00 AM,22.98333,76.05,"(22.98333, 76.05)"
Gujba,11449,Valid,CBa,100000,Fell,01/01/1984 12:00:00 AM,11.49167,11.65833,"(11.49167, 11.65833)"
Gursum,11465,Valid,H4/5,34650,Fell,01/01/1981 12:00:00 AM,9.36667,42.41667,"(9.36667, 42.41667)"
Itqiy,12058,Valid,EH7-an,4720,Fell,01/01/1990 12:00:00 AM,26.59083,-12.95217,"(26.59083, -12.95217)"
Jalanash,12068,Valid,Ureilite,700,Fell,01/01/1990 12:00:00 AM,,,
Jumapalo,12209,Valid,L6,32490,Fell,01/01/1984 12:00:00 AM,-7.71667,111.2,"(-7.71667, 111.2)"
Kaidun,12228,Valid,CR2,2000,Fell,01/01/1980 12:00:00 AM,15,48.3,"(15.0, 48.3)"
Kidairat,12300,Valid,H6,100000,Fell,01/01/1983 12:00:00 AM,14,28,"(14.0, 28.0)"
Kokubunji,12342,Valid,L6,11510,Fell,01/01/1986 12:00:00 AM,34.3,133.95,"(34.3, 133.95)"
La Criolla,12396,Valid,L6,45000,Fell,01/01/1985 12:00:00 AM,-31.23333,-58.16667,"(-31.23333, -58.16667)"
Lanxi,12464,Valid,L6,1282,Fell,01/01/1986 12:00:00 AM,46.24167,126.19611,"(46.24167, 126.19611)"
Laochenzhen,12466,Valid,H5,14250,Fell,01/01/1987 12:00:00 AM,33.13333,115.16667,"(33.13333, 115.16667)"
Lunan,14754,Valid,H6,2520,Fell,01/01/1980 12:00:00 AM,24.8,103.3,"(24.8, 103.3)"
Machinga,15371,Valid,L6,93200,Fell,01/01/1981 12:00:00 AM,-15.21222,35.24222,"(-15.21222, 35.24222)"
Magombedze,15387,Valid,H3-5,666.6,Fell,01/01/1990 12:00:00 AM,-19.48333,31.65,"(-19.48333, 31.65)"
Maryville,15436,Valid,L6,1443,Fell,01/01/1983 12:00:00 AM,35.8,-84.1,"(35.8, -84.1)"
Mianchi,16631,Valid,H5,1100,Fell,01/01/1980 12:00:00 AM,34.8,111.7,"(34.8, 111.7)"
Nantong,16907,Valid,H6,529,Fell,01/01/1984 12:00:00 AM,32.11667,121.8,"(32.11667, 121.8)"
Ningqiang,16981,Valid,C3-ung,4610,Fell,01/01/1983 12:00:00 AM,32.925,105.90667,"(32.925, 105.90667)"
Omolon,18019,Valid,"Pallasite, PMG",250000,Fell,01/01/1981 12:00:00 AM,64.02,161.80833,"(64.02, 161.80833)"
Oued el Hadjar,18050,Valid,LL6,1215.5,Fell,01/01/1986 12:00:00 AM,30.18,-6.57717,"(30.18, -6.57717)"
Palca de Aparzo,18074,Valid,L5,1430,Fell,01/01/1988 12:00:00 AM,-23.11667,-65.1,"(-23.11667, -65.1)"
Pê,18179,Valid,L6,,Fell,01/01/1989 12:00:00 AM,11.33367,-3.54217,"(11.33367, -3.54217)"
Qidong,18907,Valid,L/LL5,1275,Fell,01/01/1982 12:00:00 AM,32.08333,121.5,"(32.08333, 121.5)"
Quija,22361,Valid,H,17450,Fell,01/01/1990 12:00:00 AM,44.61667,126.13333,"(44.61667, 126.13333)"
Raghunathpura,22371,Valid,"Iron, IIAB",10200,Fell,01/01/1986 12:00:00 AM,27.72528,76.465,"(27.72528, 76.465)"
Rahimyar Khan,31302,Valid,L5,67225,Fell,01/01/1983 12:00:00 AM,28.225,70.2,"(28.225, 70.2)"
Richland Springs,22602,Valid,OC,1900,Fell,01/01/1980 12:00:00 AM,31.25,-99.03333,"(31.25, -99.03333)"
Salem,23107,Valid,L6,61.4,Fell,01/01/1981 12:00:00 AM,44.97917,-122.96944,"(44.97917, -122.96944)"
Salzwedel,23114,Valid,LL5,43,Fell,01/01/1985 12:00:00 AM,52.75,11.05,"(52.75, 11.05)"
Sayama,23192,Valid,CM2,430,Fell,01/01/1986 12:00:00 AM,35.86667,139.4,"(35.86667, 139.4)"
Sfax,23512,Valid,L6,7000,Fell,01/01/1989 12:00:00 AM,34.75,10.71667,"(34.75, 10.71667)"
Sivas,23617,Valid,H6,40000,Fell,01/01/1989 12:00:00 AM,39.82467,36.13583,"(39.82467, 36.13583)"
Sixiangkou,23619,Valid,L5,630,Fell,01/01/1989 12:00:00 AM,32.43333,119.86667,"(32.43333, 119.86667)"
Sterlitamak,23724,Valid,"Iron, IIIAB",325000,Fell,01/01/1990 12:00:00 AM,53.66667,55.98333,"(53.66667, 55.98333)"
Suizhou,23738,Valid,L6,260000,Fell,01/01/1986 12:00:00 AM,31.61667,113.46667,"(31.61667, 113.46667)"
Tianzhang,23984,Valid,H5,2232,Fell,01/01/1986 12:00:00 AM,32.94667,118.99,"(32.94667, 118.99)"
Tomiya,24024,Valid,H4/5,27.5,Fell,01/01/1984 12:00:00 AM,38.36667,140.86556,"(38.36667, 140.86556)"
Torino,24029,Valid,H6,977,Fell,01/01/1988 12:00:00 AM,45.06667,7.66667,"(45.06667, 7.66667)"
Trebbin,24042,Valid,LL6,1250,Fell,01/01/1988 12:00:00 AM,52.21667,13.16667,"(52.21667, 13.16667)"
Uchkuduk,24098,Valid,L6,1000,Fell,01/01/1989 12:00:00 AM,41.76667,62.51667,"(41.76667, 62.51667)"
Undulung,24121,Valid,L4,113.4,Fell,01/01/1986 12:00:00 AM,66.13889,124.76667,"(66.13889, 124.76667)"
Wethersfield (1982),24251,Valid,L6,2756,Fell,01/01/1982 12:00:00 AM,41.71056,-72.67361,"(41.71056, -72.67361)"
Wuan,24340,Valid,H6,50000,Fell,01/01/1986 12:00:00 AM,36.75,114.25,"(36.75, 114.25)"
Xi Ujimgin,24345,Valid,L/LL6-an,5900,Fell,01/01/1980 12:00:00 AM,44.66667,117.5,"(44.66667, 117.5)"
Yanzhuang,30350,Valid,H6,3500,Fell,01/01/1990 12:00:00 AM,24.56667,114.16667,"(24.56667, 114.16667)"
Zaoyang,30391,Valid,H5,14250,Fell,01/01/1984 12:00:00 AM,32.3,112.75,"(32.3, 112.75)"
Zhaodong,30404,Valid,L4,42000,Fell,01/01/1984 12:00:00 AM,45.81667,125.91667,"(45.81667, 125.91667)"
Abajo,4,Valid,H5,331,Found,01/01/1982 12:00:00 AM,26.8,-105.41667,"(26.8, -105.41667)"
Acfer 001,11,Valid,L6,6700,Found,01/01/1989 12:00:00 AM,27.5,3.61667,"(27.5, 3.61667)"
Acfer 002,12,Valid,H5,228,Found,01/01/1989 12:00:00 AM,27.61667,3.85,"(27.61667, 3.85)"
Acfer 003,13,Valid,H5,145,Found,01/01/1989 12:00:00 AM,27.81667,4.03333,"(27.81667, 4.03333)"
Acfer 004,14,Valid,L6,1020,Found,01/01/1989 12:00:00 AM,27.58333,3.81667,"(27.58333, 3.81667)"
Acfer 005,15,Valid,H3.9/4,115,Found,01/01/1989 12:00:00 AM,27.6,3.83333,"(27.6, 3.83333)"
Acfer 006,16,Valid,H3.9/4,561,Found,01/01/1989 12:00:00 AM,27.63333,3.96667,"(27.63333, 3.96667)"
Acfer 007,17,Valid,L5,542,Found,01/01/1989 12:00:00 AM,27.51667,3.65,"(27.51667, 3.65)"
Acfer 008,18,Valid,H5,205,Found,01/01/1989 12:00:00 AM,27.53333,3.7,"(27.53333, 3.7)"
Acfer 009,19,Valid,L6,127,Found,01/01/1989 12:00:00 AM,27.73333,4.08333,"(27.73333, 4.08333)"
Acfer 010,20,Valid,L6,276,Found,01/01/1989 12:00:00 AM,27.75,4.1,"(27.75, 4.1)"
Acfer 011,21,Valid,H5,3800,Found,01/01/1989 12:00:00 AM,27.75,4.16667,"(27.75, 4.16667)"
Acfer 012,22,Valid,H6,98,Found,01/01/1989 12:00:00 AM,27.8,4.16667,"(27.8, 4.16667)"
Acfer 013,23,Valid,H5,490,Found,01/01/1989 12:00:00 AM,27.83333,4.28333,"(27.83333, 4.28333)"
Acfer 014,24,Valid,H5,307,Found,01/01/1989 12:00:00 AM,27.8,4.46667,"(27.8, 4.46667)"
Acfer 015,25,Valid,L6,98,Found,01/01/1989 12:00:00 AM,27.78333,4.28333,"(27.78333, 4.28333)"
Acfer 016,26,Valid,H4-5,111,Found,01/01/1989 12:00:00 AM,27.71667,4.48333,"(27.71667, 4.48333)"
Acfer 017,27,Valid,L5,446,Found,01/01/1989 12:00:00 AM,27.73333,4.4,"(27.73333, 4.4)"
Acfer 018,28,Valid,H5,207,Found,01/01/1989 12:00:00 AM,27.7,4.08333,"(27.7, 4.08333)"
Acfer 019,29,Valid,L6,581,Found,01/01/1989 12:00:00 AM,27.7,4.06667,"(27.7, 4.06667)"
Acfer 020,30,Valid,H5,708,Found,01/01/1989 12:00:00 AM,27.7,4.06667,"(27.7, 4.06667)"
Acfer 021,31,Valid,H6,2140,Found,01/01/1989 12:00:00 AM,27.55,3.61667,"(27.55, 3.61667)"
Acfer 022,32,Valid,H3.7,192,Found,01/01/1989 12:00:00 AM,27.51667,3.83333,"(27.51667, 3.83333)"
Acfer 023,33,Valid,H3.8,118,Found,01/01/1989 12:00:00 AM,27.51667,3.91667,"(27.51667, 3.91667)"
Acfer 024,34,Valid,H5,1464,Found,01/01/1989 12:00:00 AM,27.55,3.93333,"(27.55, 3.93333)"
Acfer 025,35,Valid,H5,920,Found,01/01/1989 12:00:00 AM,27.58333,3.96667,"(27.58333, 3.96667)"
Acfer 026,36,Valid,H5/6,88,Found,01/01/1989 12:00:00 AM,27.61667,4.05,"(27.61667, 4.05)"
Acfer 027,37,Valid,H5,206,Found,01/01/1989 12:00:00 AM,27.66667,4.2,"(27.66667, 4.2)"
Acfer 028,38,Valid,H3.8,3130,Found,01/01/1989 12:00:00 AM,27.66667,4.25,"(27.66667, 4.25)"
Acfer 029,39,Valid,H4,98,Found,01/01/1989 12:00:00 AM,27.68333,4.33333,"(27.68333, 4.33333)"
Acfer 030,40,Valid,LL6,123,Found,01/01/1989 12:00:00 AM,27.68333,4.41667,"(27.68333, 4.41667)"
Acfer 031,41,Valid,H5,2016,Found,01/01/1989 12:00:00 AM,27.66667,4.35,"(27.66667, 4.35)"
Acfer 032,42,Valid,L6,495,Found,01/01/1989 12:00:00 AM,27.65,4.46667,"(27.65, 4.46667)"
Acfer 033,43,Valid,L6,93,Found,01/01/1989 12:00:00 AM,27.65,4.43333,"(27.65, 4.43333)"
Acfer 034,44,Valid,L6,184,Found,01/01/1989 12:00:00 AM,27.63333,4.35,"(27.63333, 4.35)"
Acfer 035,45,Valid,H6,36,Found,01/01/1989 12:00:00 AM,27.6,4.3,"(27.6, 4.3)"
Acfer 036,46,Valid,L5/6,112,Found,01/01/1989 12:00:00 AM,27.58333,4.25,"(27.58333, 4.25)"
Acfer 037,47,Valid,LL4-6,385,Found,01/01/1989 12:00:00 AM,27.55,4.13333,"(27.55, 4.13333)"
