name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
Ban Rong Du,4934,Valid,"Iron, ungrouped",16700,Fell,01/01/1993 12:00:00 AM,16.66667,101.18333,"(16.66667, 101.18333)"
Baszkówka,4957,Valid,L5,15500,Fell,01/01/1994 12:00:00 AM,52.03333,20.93583,"(52.03333, 20.93583)"
Bilanga,5045,Valid,Diogenite,25000,Fell,01/01/1999 12:00:00 AM,12.45,-0.08333,"(12.45, -0.08333)"
Burnwell,5175,Valid,H4-an,1504,Fell,01/01/1990 12:00:00 AM,37.62194,-82.23722,"(37.62194, -82.23722)"
Campos Sales,5249,Valid,L5,23680,Fell,01/01/1991 12:00:00 AM,-7.03333,-40.16667,"(-7.03333, -40.16667)"
Chadong,5313,Valid,L6,3700,Fell,01/01/1998 12:00:00 AM,28.53333,109.31667,"(28.53333, 109.31667)"
Coleman,5401,Valid,L6,469,Fell,01/01/1994 12:00:00 AM,43.76111,-84.50778,"(43.76111, -84.50778)"
Dashoguz,6604,Valid,H5,7000,Fell,01/01/1998 12:00:00 AM,41.98444,59.685,"(41.98444, 59.685)"
Devri-Khera,6696,Valid,L6,1140,Fell,01/01/1994 12:00:00 AM,24.225,76.525,"(24.225, 76.525)"
Djoumine,7657,Valid,H5-6,10000,Fell,01/01/1999 12:00:00 AM,36.95,9.55,"(36.95, 9.55)"
Dong Ujimqin Qi,7706,Valid,Mesosiderite,128800,Fell,01/01/1995 12:00:00 AM,45.5,119.03333,"(45.5, 119.03333)"
Dunbogan,7743,Valid,L6,30,Fell,01/01/1999 12:00:00 AM,-31.66667,152.83333,"(-31.66667, 152.83333)"
El Tigre,7819,Valid,L6,5000,Fell,01/01/1993 12:00:00 AM,19.96722,-103.05167,"(19.96722, -103.05167)"
Elbert,7822,Valid,LL6,680.5,Fell,01/01/1998 12:00:00 AM,39.24667,-104.58817,"(39.24667, -104.58817)"
Fermo,10091,Valid,H3-5,10200,Fell,01/01/1996 12:00:00 AM,43.18111,13.75333,"(43.18111, 13.75333)"
Galkiv,10850,Valid,H4,5000,Fell,01/01/1995 12:00:00 AM,51.68333,30.78333,"(51.68333, 30.78333)"
Gasseltepaoua,10866,Valid,H5,,Fell,01/01/2000 12:00:00 AM,14.15083,-2.04167,"(14.15083, -2.04167)"
Glanerbrug,10923,Valid,L/LL5,670,Fell,01/01/1990 12:00:00 AM,52.2,6.86667,"(52.2, 6.86667)"
Glatton,10930,Valid,L6,767,Fell,01/01/1991 12:00:00 AM,52.45972,-0.3,"(52.45972, -0.3)"
Guangmingshan,11435,Valid,H5,2910,Fell,01/01/1996 12:00:00 AM,39.80417,122.76389,"(39.80417, 122.76389)"
Itqiy,12058,Valid,EH7-an,4720,Fell,01/01/1990 12:00:00 AM,26.59083,-12.95217,"(26.59083, -12.95217)"
Jalanash,12068,Valid,Ureilite,700,Fell,01/01/1990 12:00:00 AM,,,
Juancheng,12203,Valid,H5,100000,Fell,01/01/1997 12:00:00 AM,35.5,115.41667,"(35.5, 115.41667)"
Katagum,35465,Valid,L6,1500,Fell,01/01/1999 12:00:00 AM,11.33333,10.08333,"(11.33333, 10.08333)"
Kitchener,12326,Valid,L6,202.6,Fell,01/01/1998 12:00:00 AM,43.38333,-80.38333,"(43.38333, -80.38333)"
Kobe,12336,Valid,CK4,136,Fell,01/01/1999 12:00:00 AM,34.73333,135.16667,"(34.73333, 135.16667)"
Kunya-Urgench,12379,Valid,H5,1100000,Fell,01/01/1998 12:00:00 AM,42.25,59.2,"(42.25, 59.2)"
Leighlinbridge,12759,Valid,L6,271.4,Fell,01/01/1999 12:00:00 AM,52.66667,-6.96667,"(52.66667, -6.96667)"
Lohawat,14678,Valid,Howardite,40000,Fell,01/01/1994 12:00:00 AM,26.96556,72.62667,"(26.96556, 72.62667)"
Magombedze,15387,Valid,H3-5,666.6,Fell,01/01/1990 12:00:00 AM,-19.48333,31.65,"(-19.48333, 31.65)"
Mbale,15455,Valid,L5/6,150000,Fell,01/01/1992 12:00:00 AM,1.06667,34.16667,"(1.06667, 34.16667)"
Mihonoseki,16635,Valid,L6,6380,Fell,01/01/1992 12:00:00 AM,35.56833,133.22,"(35.56833, 133.22)"
Monahans (1998),16719,Valid,H5,2587,Fell,01/01/1998 12:00:00 AM,31.60833,-102.85833,"(31.60833, -102.85833)"
Morávka,16742,Valid,H5,633,Fell,01/01/2000 12:00:00 AM,49.6,18.53333,"(49.6, 18.53333)"
Mount Tazerzait,16804,Valid,L5,110000,Fell,01/01/1991 12:00:00 AM,18.7,4.8,"(18.7, 4.8)"
Neagari,16934,Valid,L6,420,Fell,01/01/1995 12:00:00 AM,36.44917,136.46528,"(36.44917, 136.46528)"
New Halfa,16954,Valid,L4,12000,Fell,01/01/1994 12:00:00 AM,15.36667,35.68333,"(15.36667, 35.68333)"
Noblesville,16985,Valid,H4-6,483.7,Fell,01/01/1991 12:00:00 AM,40.08528,-86.055,"(40.08528, -86.055)"
Ourique,18052,Valid,H4,20000,Fell,01/01/1998 12:00:00 AM,37.60833,-8.28,"(37.60833, -8.28)"
Peekskill,18782,Valid,H6,12570,Fell,01/01/1992 12:00:00 AM,41.28333,-73.91667,"(41.28333, -73.91667)"
Pétèlkolé,18800,Valid,H5,189,Fell,01/01/1995 12:00:00 AM,14.052,0.42,"(14.052, 0.42)"
Piplia Kalan,18831,Valid,Eucrite-mmict,42000,Fell,01/01/1996 12:00:00 AM,26.03472,73.94167,"(26.03472, 73.94167)"
Portales Valley,18874,Valid,H6,71400,Fell,01/01/1998 12:00:00 AM,34.175,-103.295,"(34.175, -103.295)"
Quija,22361,Valid,H,17450,Fell,01/01/1990 12:00:00 AM,44.61667,126.13333,"(44.61667, 126.13333)"
Sabrum,22793,Valid,LL6,478,Fell,01/01/1999 12:00:00 AM,23.08333,91.66667,"(23.08333, 91.66667)"
Senboku,23496,Valid,H6,866,Fell,01/01/1993 12:00:00 AM,39.43833,140.51167,"(39.43833, 140.51167)"
Silao,23594,Valid,H5,1710,Fell,01/01/1995 12:00:00 AM,20.93333,-101.38333,"(20.93333, -101.38333)"
Songyuan,23668,Valid,L6,36900,Fell,01/01/1993 12:00:00 AM,45.25,125,"(45.25, 125.0)"
Sterlitamak,23724,Valid,"Iron, IIIAB",325000,Fell,01/01/1990 12:00:00 AM,53.66667,55.98333,"(53.66667, 55.98333)"
St-Robert,23733,Valid,H5,25400,Fell,01/01/1994 12:00:00 AM,45.96861,-72.97806,"(45.96861, -72.97806)"
Tagish Lake,23782,Valid,C2-ung,10000,Fell,01/01/2000 12:00:00 AM,59.70444,-134.20139,"(59.70444, -134.20139)"
Tahara,23784,Valid,H4/5,1000,Fell,01/01/1991 12:00:00 AM,34.72,137.305,"(34.72, 137.305)"
Talampaya,23791,Valid,Eucrite-cm,1421,Fell,01/01/1995 12:00:00 AM,,,
Tsukuba,24059,Valid,H5-6,800,Fell,01/01/1996 12:00:00 AM,36.06333,140.145,"(36.06333, 140.145)"
Turtle Lake,47343,Valid,L5,89.3,Fell,01/01/1996 12:00:00 AM,45.34583,-92.05167,"(45.34583, -92.05167)"
Vissannapeta,24188,Valid,Eucrite-cm,1303.8,Fell,01/01/1997 12:00:00 AM,16.83333,80.75,"(16.83333, 80.75)"
Worden,24337,Valid,L5,1551,Fell,01/01/1997 12:00:00 AM,42.38467,-83.6115,"(42.38467, -83.6115)"
Yafa,24351,Valid,H5,5700,Fell,01/01/2000 12:00:00 AM,13.71111,45.17,"(13.71111, 45.17)"
Yanzhuang,30350,Valid,H6,3500,Fell,01/01/1990 12:00:00 AM,24.56667,114.16667,"(24.56667, 114.16667)"
Zag,30384,Valid,H3-6,175000,Fell,01/01/1998 12:00:00 AM,27.33333,-9.33333,"(27.33333, -9.33333)"
Abu Moharek,9,Valid,H4,4500,Found,01/01/1997 12:00:00 AM,27.23944,29.83583,"(27.23944, 29.83583)"
Acfer 066,75,Valid,LL3.8-6,517,Found,01/01/1990 12:00:00 AM,27.63333,4.06667,"(27.63333, 4.06667)"
Acfer 067,76,Valid,H5,383,Found,01/01/1990 12:00:00 AM,27.71667,4.78333,"(27.71667, 4.78333)"
Acfer 068,77,Valid,L6,1805,Found,01/01/1990 12:00:00 AM,27.55,3.7,"(27.55, 3.7)"
Acfer 069,78,Valid,L6,941,Found,01/01/1990 12:00:00 AM,27.53333,3.83333,"(27.53333, 3.83333)"
Acfer 070,79,Valid,H4/5,138,Found,01/01/1990 12:00:00 AM,27.68333,4.48333,"(27.68333, 4.48333)"
Acfer 071,80,Valid,L6,1379,Found,01/01/1990 12:00:00 AM,27.63333,4.28333,"(27.63333, 4.28333)"
Acfer 072,81,Valid,L5/6,162,Found,01/01/1990 12:00:00 AM,27.63333,4.25,"(27.63333, 4.25)"
Acfer 073,82,Valid,H5,2010,Found,01/01/1990 12:00:00 AM,27.53333,3.85,"(27.53333, 3.85)"
Acfer 074,83,Valid,L6,384,Found,01/01/1990 12:00:00 AM,27.48333,3.83333,"(27.48333, 3.83333)"
Acfer 075,84,Valid,H5,1453,Found,01/01/1990 12:00:00 AM,27.51667,3.73333,"(27.51667, 3.73333)"
Acfer 076,85,Valid,H5,183,Found,01/01/1990 12:00:00 AM,27.7,4.35,"(27.7, 4.35)"
Acfer 077,86,Valid,L6,2538,Found,01/01/1990 12:00:00 AM,27.63333,4.51667,"(27.63333, 4.51667)"
Acfer 078,87,Valid,H5,105,Found,01/01/1990 12:00:00 AM,27.56667,4.15,"(27.56667, 4.15)"
Acfer 079,88,Valid,L6,387,Found,01/01/1990 12:00:00 AM,27.5,3.68333,"(27.5, 3.68333)"
Acfer 080,89,Valid,L3.9,574,Found,01/01/1990 12:00:00 AM,27.63333,4.51667,"(27.63333, 4.51667)"
Acfer 081,90,Valid,LL5-6,110,Found,01/01/1990 12:00:00 AM,27.53333,3.86667,"(27.53333, 3.86667)"
Acfer 082,91,Valid,CV3,208,Found,01/01/1990 12:00:00 AM,27.5,3.48333,"(27.5, 3.48333)"
Acfer 083,92,Valid,L6,690,Found,01/01/1990 12:00:00 AM,27.48333,3.63333,"(27.48333, 3.63333)"
Acfer 084,93,Valid,H5,6300,Found,01/01/1990 12:00:00 AM,27.55,3.86667,"(27.55, 3.86667)"
Acfer 085,94,Valid,H5,293,Found,01/01/1990 12:00:00 AM,27.58333,3.95,"(27.58333, 3.95)"
Acfer 086,95,Valid,CV3,173,Found,01/01/1990 12:00:00 AM,27.66667,4.18333,"(27.66667, 4.18333)"
Acfer 087,96,Valid,CR2,163,Found,01/01/1990 12:00:00 AM,27.7,4.26667,"(27.7, 4.26667)"
Acfer 088,97,Valid,L6,200,Found,01/01/1990 12:00:00 AM,27.75,4.43333,"(27.75, 4.43333)"
Acfer 089,98,Valid,H5,682,Found,01/01/1990 12:00:00 AM,27.63333,4.3,"(27.63333, 4.3)"
Acfer 090,99,Valid,H5,290,Found,01/01/1990 12:00:00 AM,27.5,3.83333,"(27.5, 3.83333)"
Acfer 091,100,Valid,LL5-6,3487,Found,01/01/1990 12:00:00 AM,27.45,4.11667,"(27.45, 4.11667)"
Acfer 092,101,Valid,H5,244,Found,01/01/1990 12:00:00 AM,27.66667,4.51667,"(27.66667, 4.51667)"
Acfer 093,102,Valid,L5,420,Found,01/01/1990 12:00:00 AM,27.71667,4.13333,"(27.71667, 4.13333)"
Acfer 094,103,Valid,C2-ung,82,Found,01/01/1990 12:00:00 AM,27.73333,4.43333,"(27.73333, 4.43333)"
Acfer 095,104,Valid,H3.7,104,Found,01/01/1990 12:00:00 AM,27.71667,4.38333,"(27.71667, 4.38333)"
Acfer 096,105,Valid,L4-5,572,Found,01/01/1990 12:00:00 AM,27.61667,4.2,"(27.61667, 4.2)"
Acfer 097,106,Valid,CR2,63,Found,01/01/1990 12:00:00 AM,27.51667,3.96667,"(27.51667, 3.96667)"
Acfer 098,107,Valid,H5,5500,Found,01/01/1990 12:00:00 AM,27.46667,3.88333,"(27.46667, 3.88333)"
Acfer 099,108,Valid,H5,313,Found,01/01/1990 12:00:00 AM,27.45,3.83333,"(27.45, 3.83333)"
Acfer 100,109,Valid,H6,140,Found,01/01/1990 12:00:00 AM,27.46667,3.95,"(27.46667, 3.95)"
