name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
Allende,2278,Valid,CV3,2000000,Fell,01/01/1969 12:00:00 AM,26.96667,-105.31667,"(26.96667, -105.31667)"
Andreevka,2296,Valid,L3,600,Fell,01/01/1969 12:00:00 AM,48.7,37.5,"(48.7, 37.5)"
Awere,4910,Valid,L4,134,Fell,01/01/1968 12:00:00 AM,2.71667,32.83333,"(2.71667, 32.83333)"
Barwell,4954,Valid,L5,44000,Fell,01/01/1965 12:00:00 AM,52.56528,-1.33972,"(52.56528, -1.33972)"
Bells,5005,Valid,C2-ung,375,Fell,01/01/1961 12:00:00 AM,33.6,-96.46667,"(33.6, -96.46667)"
Bogou,5097,Valid,"Iron, IAB-MG",8800,Fell,01/01/1962 12:00:00 AM,12.5,0.7,"(12.5, 0.7)"
Bovedy,5121,Valid,L3,5460,Fell,01/01/1969 12:00:00 AM,54.56667,-6.33333,"(54.56667, -6.33333)"
Bruderheim,5156,Valid,L6,303000,Fell,01/01/1960 12:00:00 AM,53.9,-112.88333,"(53.9, -112.88333)"
Bulls Run,5163,Valid,Iron?,2250,Fell,01/01/1964 12:00:00 AM,,,
Çanakkale,5250,Valid,L6,4000,Fell,01/01/1964 12:00:00 AM,39.8,26.6,"(39.8, 26.6)"
Chernyi Bor,5339,Valid,H4,6000,Fell,01/01/1964 12:00:00 AM,53.7,30.1,"(53.7, 30.1)"
Chitado,5356,Valid,L6,,Fell,01/01/1966 12:00:00 AM,-17.35,13.96667,"(-17.35, 13.96667)"
Conquista,5418,Valid,H4,20350,Fell,01/01/1965 12:00:00 AM,-19.85,-47.55,"(-19.85, -47.55)"
Denver,6660,Valid,L6,230,Fell,01/01/1967 12:00:00 AM,39.7825,-104.93056,"(39.7825, -104.93056)"
Desuri,6693,Valid,H6,25400,Fell,01/01/1962 12:00:00 AM,25.73333,73.61667,"(25.73333, 73.61667)"
Djermaia,7656,Valid,H,3950,Fell,01/01/1961 12:00:00 AM,12.73333,15.05,"(12.73333, 15.05)"
Dongtai,7708,Valid,LL6,5500,Fell,01/01/1970 12:00:00 AM,32.91667,120.78333,"(32.91667, 120.78333)"
Dosso,7722,Valid,L6,1250,Fell,01/01/1962 12:00:00 AM,13.05,3.16667,"(13.05, 3.16667)"
Dwaleni,7755,Valid,H4-6,3230,Fell,01/01/1970 12:00:00 AM,-27.2,31.31667,"(-27.2, 31.31667)"
Ehole,7774,Valid,H5,2400,Fell,01/01/1961 12:00:00 AM,-17.3,15.83333,"(-17.3, 15.83333)"
Gao-Guenie,10854,Valid,H5,,Fell,01/01/1960 12:00:00 AM,11.65,-2.18333,"(11.65, -2.18333)"
Granes,10956,Valid,L6,9000,Fell,01/01/1964 12:00:00 AM,42.9,2.25,"(42.9, 2.25)"
Harleton,11830,Valid,L6,8360,Fell,01/01/1961 12:00:00 AM,32.675,-94.51167,"(32.675, -94.51167)"
Hoxie,11915,Valid,OC,266.1,Fell,01/01/1963 12:00:00 AM,39.35,-100.45,"(39.35, -100.45)"
Inner Mongolia,12037,Valid,L6,3000,Fell,01/01/1963 12:00:00 AM,41,112,"(41.0, 112.0)"
Jiange,12086,Valid,H5,222,Fell,01/01/1964 12:00:00 AM,31.91667,104.91667,"(31.91667, 104.91667)"
Juromenha,12213,Valid,"Iron, IIIAB",25250,Fell,01/01/1968 12:00:00 AM,38.74028,-7.27,"(38.74028, -7.27)"
Karatu,12258,Valid,LL6,2220,Fell,01/01/1963 12:00:00 AM,-3.5,35.58333,"(-3.5, 35.58333)"
Kayakent,12268,Valid,"Iron, IIIAB",85000,Fell,01/01/1961 12:00:00 AM,39.26333,31.78,"(39.26333, 31.78)"
Kiel,12301,Valid,L6,737.6,Fell,01/01/1962 12:00:00 AM,54.4,10.15,"(54.4, 10.15)"
Kiffa,12303,Valid,H5,1500,Fell,01/01/1970 12:00:00 AM,16.58333,-11.33333,"(16.58333, -11.33333)"
Kingai,12316,Valid,H6,67.4,Fell,01/01/1967 12:00:00 AM,11.63333,24.68333,"(11.63333, 24.68333)"
Kulak,12369,Valid,L5,453.6,Fell,01/01/1961 12:00:00 AM,30.73111,66.80222,"(30.73111, 66.80222)"
Lost City,14711,Valid,H5,17000,Fell,01/01/1970 12:00:00 AM,36.00833,-95.15,"(36.00833, -95.15)"
Malakal,15394,Valid,L5,2000,Fell,01/01/1970 12:00:00 AM,9.5,31.75,"(9.5, 31.75)"
Millbillillie,16643,Valid,Eucrite-mmict,330000,Fell,01/01/1960 12:00:00 AM,-26.45,120.36667,"(-26.45, 120.36667)"
Murchison,16875,Valid,CM2,100000,Fell,01/01/1969 12:00:00 AM,-36.61667,145.2,"(-36.61667, 145.2)"
Muzaffarpur,16885,Valid,"Iron, IAB-sHL",1245,Fell,01/01/1964 12:00:00 AM,26.13333,85.53333,"(26.13333, 85.53333)"
Nejo,16941,Valid,L6,2450,Fell,01/01/1970 12:00:00 AM,9.5,35.33333,"(9.5, 35.33333)"
Niger (L6),16974,Valid,L6,3.3,Fell,01/01/1967 12:00:00 AM,,,
Niger (LL6),16975,Valid,LL6,3.3,Fell,01/01/1967 12:00:00 AM,,,
Ohuma,17996,Valid,L5,7700,Fell,01/01/1963 12:00:00 AM,6.75,8.5,"(6.75, 8.5)"
Parambu,18102,Valid,LL5,2000,Fell,01/01/1967 12:00:00 AM,-6.23333,-40.7,"(-6.23333, -40.7)"
Patora,18112,Valid,H6,4375,Fell,01/01/1969 12:00:00 AM,20.93694,82.05,"(20.93694, 82.05)"
